title,authors,nom,prenom,rank_author,year,sex,first_author_sex
Cartographie de l&apos;organisation - une approche topologique des connaissances.,"['André Péninou', 'Florence Sèdes', 'Marc Boyer', 'Max Chevalier']","['Péninou', 'Sèdes', 'Boyer', 'Chevalier']","['Andre', 'Florence', 'Marc', 'Max']","[4, 5, 1, 3]","['2007', '2007', '2007', '2007']","['Male', 'Female', 'Male', 'Male']","[nan, nan, 'Male', nan]"
"Challenges and Opportunities in HCI, Visual Analytics and Knowledge Management for the development of Sustainable Cities.",['Thomas Baudel'],['Baudel'],['Thomas'],[1],['2015'],['Male'],['Male']
Choix d&apos;une mesure de proximité discriminante dans un contexte topologique.,"['Fatima Zahra Aazi', 'Rafik Abdesselam']","['Zahra', 'Abdesselam']","['Fatima', 'Rafik']","[1, 2]","['2015', '2015']","['Female', 'Male']","['Female', nan]"
Classement des fragments de documents XML par une méthode d&apos;aide à la décision.,"['Faïza Abbaci', 'Pascal Francq']","['Abbaci', 'Francq']","['Faiza', 'Pascal']","[1, 2]","['2007', '2007']","['Female', 'Male']","['Female', nan]"
Classification 2-3 hiérarchique de données du Web.,"['Brigitte Trousse', 'Sergiu Theodor Chelcea']","['Trousse', 'Theodor']","['Brigitte', 'Sergiu']","[2, 1]","['2005', '2005']","['Female', 'Female']","[nan, 'Female']"
Classification Automatique Non supervisée de Documents Textuels basés sur Wordnet.,"['Abdelmalek Amine', 'Ladjel Bellatreche', 'Michel Simonet', 'Mimoun Malki', 'Zakaria Elberrichi']","['Amine', 'Bellatreche', 'Simonet', 'Malki', 'Elberrichi']","['Abdelmalek', 'Ladjel', 'Michel', 'Mimoun', 'Zakaria']","[1, 3, 4, 5, 2]","['2008', '2008', '2008', '2008', '2008']","['Male', 'Female', 'Male', 'Female', 'Male']","['Male', nan, nan, nan, nan]"
Classification Conceptuelle avec Généralisation par Intervalles.,"['Géraldine Polaillon', 'Paula Brito']","['Polaillon', 'Brito']","['Geraldine', 'Paula']","[2, 1]","['2012', '2012']","['Female', 'Female']","[nan, 'Female']"
Classification adaptative de séries temporelles - application à l&apos;identification des gènes exprimés au cours du cycle cellulaire.,"['Ahlame Douzal', 'Françoise Giroud']","['Douzal', 'Giroud']","['Ahlame', 'Francoise']","[2, 3]","['2008', '2008']","['Male', 'Female']","[nan, nan]"
Classification ascendante hiérarchique à noyaux et une application aux données textuelles.,"['Julien Ah-Pine', 'Xinyu Wang']","['Ah-Pine', 'Wang']","['Julien', 'Xinyu']","[1, 2]","['2017', '2017']","['Male', 'UKN']","['Male', nan]"
Classification associative basée sur le Boosting.,"['Emna Bahri', 'Stéphane Lallich']","['Bahri', 'Lallich']","['Emna', 'Stephane']","[1, 2]","['2010', '2010']","['Female', 'Male']","['Female', nan]"
Classification croisée sur des données binaires de grande taille.,"['François-Xavier Jollois', 'Gérard Govaert', 'Mohamed Nadif']","['Jollois', 'Govaert', 'Nadif']","['Francois-Xavier', 'Gerard', 'Mohamed']","[1, 3, 2]","['2003', '2003', '2003']","['Male', 'Male', 'Male']","['Male', nan, nan]"
Classification de Données Complexes par Globalisation de Mesures de Similarité via les Moyennes Quasi-Arithmétiques.,"['Etienne Cuvelier', 'Marie-Aude Aufaure']","['Cuvelier', 'Aufaure']","['Etienne', 'Marie-Aude']","[1, 2]","['2018', '2018']","['Male', 'Female']","['Male', nan]"
Classification de données qualitatives.,"['Franck Marchetti', 'François-Xavier Jollois', 'Mohamed Nadif']","['Marchetti', 'Jollois', 'Nadif']","['Franck', 'Francois-Xavier', 'Mohamed']","[3, 1, 2]","['2001', '2001', '2001']","['Male', 'Male', 'Male']","[nan, 'Male', nan]"
Classification de fonctions continues à l&apos;aide d&apos;une distribution et d&apos;une densité définies dans un espace de dimension infinie.,"['Etienne Cuvelier', 'Monique Noirhomme-Fraiture']","['Cuvelier', 'Noirhomme-Fraiture']","['Etienne', 'Monique']","[1, 2]","['2007', '2007']","['Male', 'Female']","['Male', nan]"
Classification de grands ensembles de données avec un nouvel algorithme de SVM.,"['François Poulet', 'Thanh-Nghi Do']","['Poulet', 'Do']","['Francois', 'Thanh-Nghi']","[2, 1]","['2007', '2007']","['Male', 'Male']","[nan, 'Male']"
Classification des compte-rendus mammographiques à partir d&apos;une ontologie radiologique en OWL.,"['Amel Boustil', 'Christine Golbreich', 'Zaïdi Sahnoun', 'Ziad Mansouri']","['Boustil', 'Golbreich', 'Sahnoun', 'Mansouri']","['Amel', 'Christine', 'Zaidi', 'Ziad']","[1, 4, 2, 3]","['2006', '2006', '2006', '2006']","['Male', 'Female', 'Female', 'UKN']","['Male', nan, nan, nan]"
Classification en temps-fréquence à partir de données expertisées - Application à la détection des complexes-K.,"['Arnaud Coatanhay', 'Cédric Richard', 'Luc Staner']","['Coatanhay', 'Richard', 'Staner']","['Arnaud', 'Cedric', 'Luc']","[1, 2, 3]","['2002', '2002', '2002']","['Male', 'Male', 'Male']","['Male', nan, nan]"
Classification formelle de règles - Un système de gradation des règles contextuelles.,"['Laurent Chaudron', 'Marc Boyer']","['Chaudron', 'Boyer']","['Laurent', 'Marc']","[2, 1]","['2002', '2002']","['Male', 'Male']","[nan, 'Male']"
Classification multi-étiquettes pour l&apos;alignement multiple de séquences protéiques.,"['Gabriel Frey', 'Julie Dawn Thompson', 'Lina Fahed', 'Nicolas Lachiche']","['Frey', 'Dawn', 'Fahed', 'Lachiche']","['Gabriel', 'Julie', 'Lina', 'Nicolas']","[2, 3, 1, 4]","['2013', '2013', '2013', '2013']","['Male', 'Female', 'Female', 'Male']","[nan, nan, 'Female', nan]"
Classification non supervisée et visualisation 3D de documents.,"['Alexandre Cotarmanac&apos;h', 'Annie Morin', 'Nicolas Bonnel']","['Cotarmanac&apos;h', 'Morin', 'Bonnel']","['Alexandre', 'Annie', 'Nicolas']","[3, 2, 1]","['2005', '2005', '2005']","['Male', 'Female', 'Male']","[nan, nan, 'Male']"
Classification spatiale par contrôle de l&apos;agrégation.,"['Ayale Daher', 'Thierry Dhorne']","['Daher', 'Dhorne']","['Ayale', 'Thierry']","[1, 2]","['2012', '2012']","['UKN', 'Male']","['UKN', nan]"
Classification supervisée pour de grands nombres de valeurs à prédire.,['Marc Boullé'],['Boullé'],['Marc'],[1],['2010'],['Male'],['Male']
Classification évidentielle avec contraintes d&apos;étiquettes.,"['Nicolas Labroche', 'Violaine Antoine']","['Labroche', 'Antoine']","['Nicolas', 'Violaine']","[2, 1]","['2015', '2015']","['Male', 'Female']","[nan, 'Female']"
Classifications hiérarchiques factorielles de variables.,"['Jean Jacques Denimal', 'Sergio Camiz']","['Jacques', 'Camiz']","['Jean', 'Sergio']","[2, 1]","['2006', '2006']","['Male', 'Male']","[nan, 'Male']"
Classifying XML Materialized views for their maintenance on distributed Web sources.,"['Dominique Laurent', 'Tuyet-Tram Dang-Ngoc', 'Virginie Sans']","['Laurent', 'Dang-Ngoc', 'Sans']","['Dominique', 'Tuyet-Tram', 'Virginie']","[3, 1, 2]","['2005', '2005', '2005']","['Male', 'Female', 'Female']","[nan, 'Female', nan]"
Closed-set-based Discovery of Representative Association Rules Revisited.,"['Cristina Tîrnauca', 'José L. Balcázar']","['Tîrnauca', 'L.']","['Cristina', 'Jose']","[2, 1]","['2011', '2011']","['Female', 'Male']","[nan, 'Male']"
Clustering - from model-based approaches to heuristic algorithms.,['Hans-Hermann Bock'],['Bock'],['Hans-Hermann'],[1],['2007'],['Male'],['Male']
Clustering de données relationnelles pour la structuration de flux télévisuels.,"['Patrick Gros', 'Vincent Claveau']","['Gros', 'Claveau']","['Patrick', 'Vincent']","[2, 1]","['2014', '2014']","['Male', 'Male']","[nan, 'Male']"
Clustering en haute dimension par accumulation de clusterings locaux.,"['Kavé Salamatian', 'Marc-Ismaël Akodjènou-Jeannin', 'Patrick Gallinari']","['Salamatian', 'Akodjènou-Jeannin', 'Gallinari']","['Kave', 'Marc-Ismael', 'Patrick']","[2, 1, 3]","['2008', '2008', '2008']","['Male', 'Male', 'Male']","[nan, 'Male', nan]"
Clustering hiérarchique non paramétrique de données fonctionnelles.,"['Fabrice Rossi', 'Marc Boullé', 'Romain Guigourès']","['Rossi', 'Boullé', 'Guigourès']","['Fabrice', 'Marc', 'Romain']","[3, 1, 2]","['2012', '2012', '2012']","['Male', 'Male', 'Male']","[nan, 'Male', nan]"
Clustering topologique pour le flux de données.,"['Hanane Azzag', 'Mohammed Ghesmoune', 'Mustapha Lebbah']","['Azzag', 'Ghesmoune', 'Lebbah']","['Hanane', 'Mohammed', 'Mustapha']","[3, 1, 2]","['2015', '2015', '2015']","['Female', 'Male', 'Male']","[nan, 'Male', nan]"
Co-clustering de données mixtes à base des modèles de mélange.,"['Aichetou Bouchareb', 'Fabrice Rossi', 'Marc Boullé']","['Bouchareb', 'Rossi', 'Boullé']","['Aichetou', 'Fabrice', 'Marc']","[1, 3, 2]","['2017', '2017', '2017']","['Female', 'Male', 'Male']","['Female', nan, nan]"
Combinaison de classificateurs simples pour une sélection rapide de caractéristiques.,"['Florence Cloppet', 'Hassan Chouaib', 'Nicole Vincent', 'Salvatore-Antoine Tabbone']","['Cloppet', 'Chouaib', 'Vincent', 'Tabbone']","['Florence', 'Hassan', 'Nicole', 'Salvatore-Antoine']","[2, 1, 4, 3]","['2012', '2012', '2012', '2012']","['Female', 'Male', 'Female', 'Male']","[nan, 'Male', nan, nan]"
Combinaison de l&apos;approche inductive (progressive) et linguistique pour l&apos;étiquetage morphosyntaxique des corpus de spécialité.,"['Ahmed Amrani', 'Yves Kodratoff']","['Amrani', 'Kodratoff']","['Ahmed', 'Yves']","[1, 2]","['2006', '2006']","['Male', 'Male']","['Male', nan]"
Comment valider automatiquement des relations syntaxiques induites.,"['Jacques Chauché', 'Mathieu Roche', 'Nicolas Béchet']","['Chauché', 'Roche', 'Béchet']","['Jacques', 'Mathieu', 'Nicolas']","[3, 2, 1]","['2009', '2009', '2009']","['Male', 'Male', 'Male']","[nan, nan, 'Male']"
Community Detection in Social Networks with Attribute and Relationship Data.,['Emmanuel Viennet'],['Viennet'],['Emmanuel'],[2],['2012'],['Male'],[nan]
Comparaison des mammographies par des méthodes d&apos;apprentissage.,"['Djamel Abdelkader Zighed', 'Irina Diana Coman']","['Abdelkader', 'Diana']","['Djamel', 'Irina']","[2, 1]","['2006', '2006']","['Male', 'Female']","[nan, 'Female']"
Comparaison et Évaluation de Mesures de Similarité entre Concepts dun Treillis.,"['Florent Domenach', 'George Portides']","['Domenach', 'Portides']","['Florent', 'George']","[1, 2]","['2017', '2017']","['Male', 'Male']","['Male', nan]"
Comparaisons structurelles de grandes bases de données par apprentissage non-supervisé.,"['Frédéric Dufau-Joël', 'Guénaël Cabanes', 'Younès Bennani']","['Dufau-Joël', 'Cabanes', 'Bennani']","['Frederic', 'Guenael', 'Younes']","[3, 1, 2]","['2010', '2010', '2010']","['Male', 'Male', 'Male']","[nan, 'Male', nan]"
"Comparison of linear modularization criteria using the relational formalism, an approach to easily identify resolution limit.","['Emmanuel Viennet', 'Jean-François Marcotorchino', 'Patricia Conde Céspedes']","['Viennet', 'Marcotorchino', 'Conde']","['Emmanuel', 'Jean-Francois', 'Patricia']","[3, 2, 1]","['2015', '2015', '2015']","['Male', 'Male', 'Female']","[nan, nan, 'Female']"
Complex Information Processing.,['Jacques Blanc-Talon'],['Blanc-Talon'],['Jacques'],[1],['2011'],['Male'],['Male']
Conception dun modèle généraliste pour lévaluation dun test A/B.,"['Emmanuelle Claeys', 'Hubert Wassner', 'Myriam Maumy-Bertrand', 'Pierre Gançarski']","['Claeys', 'Wassner', 'Maumy-Bertrand', 'Gançarski']","['Emmanuelle', 'Hubert', 'Myriam', 'Pierre']","[1, 4, 3, 2]","['2017', '2017', '2017', '2017']","['Female', 'Male', 'Female', 'Male']","['Female', nan, nan, nan]"
Conception et implémentation d&apos;une nouvelle technique cellulaire de discrétisation - intégration dans TANAGRA.,"['Baghdad Atmani', 'Mohamed Benamina']","['Atmani', 'Benamina']","['Baghdad', 'Mohamed']","[1, 2]","['2011', '2011']","['Male', 'Male']","['Male', nan]"
Connaissance des modes de fonctionnement d&apos;une presse à injecter à partir de données de production.,"['Alain Bourmaud', 'Arnaud Devillez']","['Bourmaud', 'Devillez']","['Alain', 'Arnaud']","[2, 1]","['2001', '2001']","['Male', 'Male']","[nan, 'Male']"
Construction d&apos;ontologie à partir de corpus de textes.,"['Amedeo Napoli', 'Rokia Bendaoud', 'Yannick Toussaint']","['Napoli', 'Bendaoud', 'Toussaint']","['Amedeo', 'Rokia', 'Yannick']","[3, 1, 2]","['2007', '2007', '2007']","['Male', 'Female', 'Male']","[nan, 'Female', nan]"
Construction d&apos;une ontologie opérationnelle - un retour d&apos;expérience.,"['Francky Trichet', 'Frédéric Fürst', 'Michel Leclère']","['Trichet', 'Fürst', 'Leclère']","['Francky', 'Frederic', 'Michel']","[3, 1, 2]","['2002', '2002', '2002']","['Male', 'Male', 'Male']","[nan, 'Male', nan]"
Construction de cube OLAP à partir d&apos;un entrepôt de données orienté colonnes.,"['Fadila Bentayeb', 'Khaled Dehdouh', 'Nadia Kabachi', 'Omar Boussaïd']","['Bentayeb', 'Dehdouh', 'Kabachi', 'Boussaïd']","['Fadila', 'Khaled', 'Nadia', 'Omar']","[2, 1, 3, 4]","['2014', '2014', '2014', '2014']","['Female', 'Female', 'Female', 'Male']","[nan, 'Female', nan, nan]"
Construction de descripteurs à partir du coclustering pour la classification supervisée de séries temporelles.,"['Dominique Gay', 'Marc Boullé']","['Gay', 'Boullé']","['Dominique', 'Marc']","[1, 2]","['2013', '2013']","['Male', 'Male']","['Male', nan]"
Construction de la base de connaissances d&apos;un système tutoriel intelligent pour la formation de régulateurs de trafic.,['Alain-Jérôme Fougères'],['Fougères'],['Alain-Jerome'],[1],['2001'],['Male'],['Male']
Contextualisation de Singularités en Temps-Réel par Extraction de Connaissances du Web des Données.,"['Badre Belabbess', 'Jérémy Lhez', 'Musab Bairat', 'Olivier Curé']","['Belabbess', 'Lhez', 'Bairat', 'Curé']","['Badre', 'Jeremy', 'Musab', 'Olivier']","[1, 2, 3, 4]","['2018', '2018', '2018', '2018']","['Male', 'Male', 'Male', 'Male']","['Male', nan, nan, nan]"
Contrôle des observations pour la gestion des systèmes de flux de données.,"['Christophe Dousson', 'Pierre Le Maigat']","['Dousson', 'Le']","['Christophe', 'Pierre']","[1, 2]","['2009', '2009']","['Male', 'Male']","['Male', nan]"
Correspondances de Galois pour la manipulation de contextes flous multi-valués.,"['Agnès Braud', 'Aurélie Bertaux', 'Florence Le Ber']","['Braud', 'Bertaux', 'Le']","['Agnes', 'Aurelie', 'Florence']","[3, 1, 2]","['2009', '2009', '2009']","['Female', 'Female', 'Female']","[nan, 'Female', nan]"
DBFrequentQueries - Extraction de requêtes fréquentes.,"['Anne Laurent', 'Budi Sentana', 'Dominique Laurent', 'Lucie Copin', 'Nicolas Pecheur', 'Tao-Yuan Jen', 'Yudi Augusta']","['Laurent', 'Sentana', 'Laurent', 'Copin', 'Pecheur', 'Jen', 'Augusta']","['Anne', 'Budi', 'Dominique', 'Lucie', 'Nicolas', 'Tao-Yuan', 'Yudi']","[3, 5, 6, 1, 2, 7, 4]","['2009', '2009', '2009', '2009', '2009', '2009', '2009']","['Female', 'Male', 'Male', 'Female', 'Male', 'Female', 'Female']","[nan, nan, nan, 'Female', nan, nan, nan]"
DaFOE - une plateforme pour construire des ontologies à partir de textes et de thésaurus.,"['Adeline Nazarenko', 'Audrey Baneyx', 'Henry Valéry Téguiak', 'Jean Charlet', 'Jean Delahousse', 'Nadia Nadah', 'Nathalie Aussenac-Gilles', 'Nathalie Hernandez', 'Sylvie Szulman', 'Éric Sardet']","['Nazarenko', 'Baneyx', 'Valéry', 'Charlet', 'Delahousse', 'Nadah', 'Aussenac-Gilles', 'Hernandez', 'Szulman', 'Sardet']","['Adeline', 'Audrey', 'Henry', 'Jean', 'Jean', 'Nadia', 'Nathalie', 'Nathalie', 'Sylvie', 'Eric']","[4, 10, 9, 1, 8, 6, 3, 5, 2, 7]","['2010', '2010', '2010', '2010', '2010', '2010', '2010', '2010', '2010', '2010']","['Female', 'Female', 'Male', 'Male', 'Male', 'Female', 'Female', 'Female', 'Female', 'Male']","[nan, nan, nan, 'Male', nan, nan, nan, nan, nan, nan]"
Data Mining et analyse des CV - une expérience et des perspectives.,"['Djamel A. Zighed', 'Jérémy Clech']","['A.', 'Clech']","['Djamel', 'Jeremy']","[2, 1]","['2003', '2003']","['Male', 'Male']","[nan, 'Male']"
Data Stream Summarization by On-Line Histograms Clustering.,"['Antonio Balzanella', 'Lidia Rivoli', 'Rosanna Verde']","['Balzanella', 'Rivoli', 'Verde']","['Antonio', 'Lidia', 'Rosanna']","[1, 2, 3]","['2011', '2011', '2011']","['Male', 'Female', 'Female']","['Male', nan, nan]"
Datamining et Customer Relationship Management.,['Michel Jambu'],['Jambu'],['Michel'],[1],['2001'],['Male'],['Male']
De l&apos;OLAP Mining au F-OLAP Mining - représentations de données imparfaites dans les bases de données multidimensionnelles pour la fouille de données.,['Anne Laurent'],['Laurent'],['Anne'],[1],['2001'],['Female'],['Female']
De l&apos;ombre à la lumière - plus de visibilité sur l&apos;Eclipse.,"['Boris Baldassari', 'Flavien Huynh', 'Philippe Preux']","['Baldassari', 'Huynh', 'Preux']","['Boris', 'Flavien', 'Philippe']","[1, 2, 3]","['2014', '2014', '2014']","['Male', 'Male', 'Male']","['Male', nan, nan]"
De l&apos;utilisation de l&apos;analyse de données symboliques dans les systèmes multi-agents.,"['Edwin Diday', 'Flavien Balbo', 'Julien Saunier', 'Suzanne Pinson']","['Diday', 'Balbo', 'Saunier', 'Pinson']","['Edwin', 'Flavien', 'Julien', 'Suzanne']","[3, 1, 2, 4]","['2009', '2009', '2009', '2009']","['Male', 'Male', 'Male', 'Female']","[nan, 'Male', nan, nan]"
De nouvelles pondérations adaptées à la classification de petits volumes de données textuelles.,"['Flavien Bouillot', 'Mathieu Roche', 'Pascal Poncelet']","['Bouillot', 'Roche', 'Poncelet']","['Flavien', 'Mathieu', 'Pascal']","[1, 3, 2]","['2014', '2014', '2014']","['Male', 'Male', 'Male']","['Male', nan, nan]"
Dealing with upper ontologies and their mappings.,"['Giuseppe Berio', 'Muhammad Aun Abbas']","['Berio', 'Aun']","['Giuseppe', 'Muhammad']","[2, 1]","['2012', '2012']","['Male', 'Male']","[nan, 'Male']"
Density estimation on data stream - an application to change detection.,"['Alexis Bondu', 'Benoît Grossin', 'Marie-Luce Picard']","['Bondu', 'Grossin', 'Picard']","['Alexis', 'Benoit', 'Marie-Luce']","[1, 2, 3]","['2010', '2010', '2010']","['Male', 'Male', 'Female']","['Male', nan, nan]"
Des fonctions d&apos;oubli intelligentes dans les entrepôts de données.,"['Aliou Boly', 'Georges Hébrail', 'Sabine Goutier']","['Boly', 'Hébrail', 'Goutier']","['Aliou', 'Georges', 'Sabine']","[1, 3, 2]","['2007', '2007', '2007']","['Female', 'Male', 'Female']","['Female', nan, nan]"
DesEsper - un logiciel de pré-traitement de flux appliqué à la surveillance des centrales hydrauliques.,"['Alain Ribière', 'Frédéric Flouvat', 'Jean-Marc Petit', 'Sébastien Gassmann']","['Ribière', 'Flouvat', 'Petit', 'Gassmann']","['Alain', 'Frederic', 'Jean-Marc', 'Sebastien']","[4, 1, 3, 2]","['2009', '2009', '2009', '2009']","['Male', 'Male', 'Male', 'Male']","[nan, 'Male', nan, nan]"
Detecting Academic Plagiarism with Graphs.,"['Bin-Hui Chou', 'Einoshin Suzuki']","['Chou', 'Suzuki']","['Bin-Hui', 'Einoshin']","[1, 2]","['2013', '2013']","['UKN', 'Male']","['UKN', nan]"
Deux approches pour catégoriser le risque.,"['Natalia Grabar', 'Niña Kerry']","['Grabar', 'Kerry']","['Natalia', 'Nina']","[1, 2]","['2015', '2015']","['Female', 'Female']","['Female', nan]"
Development of a distributed recommender system using the Hadoop Framework.,"['Raja Chiky', 'Renata Ghisloti', 'Zakia Kazi-Aoul']","['Chiky', 'Ghisloti', 'Kazi-Aoul']","['Raja', 'Renata', 'Zakia']","[1, 2, 3]","['2012', '2012', '2012']","['Female', 'Female', 'Female']","['Female', nan, nan]"
Différentes variantes GMM-SMOs pour l&apos;identification du locuteur.,"['Dorra Ben Ayed Mezghanni', 'Noureddine Ellouze', 'Siwar Zribi Boujelbene']","['Ben', 'Ellouze', 'Zribi']","['Dorra', 'Noureddine', 'Siwar']","[2, 3, 1]","['2010', '2010', '2010']","['Female', 'Male', 'UKN']","[nan, nan, 'UKN']"
Découverte de chroniques à partir de séquences d&apos;événements pour la supervision de processus dynamiques.,"['Marc Le Goc', 'Nabil Benayadi', 'Philippe Bouché']","['Le', 'Benayadi', 'Bouché']","['Marc', 'Nabil', 'Philippe']","[2, 1, 3]","['2007', '2007', '2007']","['Male', 'Female', 'Male']","[nan, 'Female', nan]"
Découverte de proportions analogiques dans les bases de données - une première approche.,"['Hélène Jaudoin', 'Olivier Pivert', 'William Correa Beltran']","['Jaudoin', 'Pivert', 'Correa']","['Helene', 'Olivier', 'William']","[2, 3, 1]","['2015', '2015', '2015']","['Female', 'Male', 'Male']","[nan, nan, 'Male']"
Découverte de règles d&apos;association ordinales.,['Sylvie Guillaume'],['Guillaume'],['Sylvie'],[1],['2002'],['Female'],['Female']
Découverte de règles ordinales.,"['Ali Khenchaf', 'Sylvie Guillaume']","['Khenchaf', 'Guillaume']","['Ali', 'Sylvie']","[2, 1]","['2001', '2001']","['Male', 'Female']","[nan, 'Female']"
Découverte de sous-groupes avec les arbres de recherche de Monte Carlo.,"['Chedy Raïssi', 'Guillaume Bosc', 'Jean-François Boulicaut', 'Mehdi Kaytoue']","['Raïssi', 'Bosc', 'Boulicaut', 'Kaytoue']","['Chedy', 'Guillaume', 'Jean-Francois', 'Mehdi']","[3, 1, 2, 4]","['2017', '2017', '2017', '2017']","['Male', 'Male', 'Male', 'Male']","[nan, 'Male', nan, nan]"
Définition d&apos;un modèle booléen de raisonnement flou adapté à la planification.,"['Baghdad Atmani', 'Mohamed Benamina']","['Atmani', 'Benamina']","['Baghdad', 'Mohamed']","[2, 1]","['2012', '2012']","['Male', 'Male']","[nan, 'Male']"
Définition et diffusion de signatures sémantiques dans les systèmes pair-à-pair.,"['Bruno Defude', 'Georges Hébrail', 'Raja Chiky']","['Defude', 'Hébrail', 'Chiky']","['Bruno', 'Georges', 'Raja']","[2, 3, 1]","['2006', '2006', '2006']","['Male', 'Male', 'Female']","[nan, nan, 'Female']"
Détection automatique de reformulations - Correspondance de concepts appliquée à la détection du plagiat.,"['Alain Simac-Lejeune', 'Jérémy Ferrero']","['Simac-Lejeune', 'Ferrero']","['Alain', 'Jeremy']","[2, 1]","['2015', '2015']","['Male', 'Male']","[nan, 'Male']"
Détection d&apos;opinions dans des tweets.,"['Alexandre Pauchet', 'Caroline Collet', 'Khaled Khelif', 'Laurent Vercouter']","['Pauchet', 'Collet', 'Khelif', 'Vercouter']","['Alexandre', 'Caroline', 'Khaled', 'Laurent']","[2, 1, 4, 3]","['2014', '2014', '2014', '2014']","['Male', 'Female', 'Female', 'Male']","[nan, 'Female', nan, nan]"
Détection de Singularités en temps-réel par combinaison d&apos;apprentissage automatique et web sémantique basés sur Spark.,"['Badre Belabbess', 'Jérémy Lhez', 'Musab Bairat', 'Olivier Curé']","['Belabbess', 'Lhez', 'Bairat', 'Curé']","['Badre', 'Jeremy', 'Musab', 'Olivier']","[1, 3, 2, 4]","['2018', '2018', '2018', '2018']","['Male', 'Male', 'Male', 'Male']","['Male', nan, nan, nan]"
Détection de changements de distribution dans un flux de données - une approche supervisée.,"['Alexis Bondu', 'Marc Boullé']","['Bondu', 'Boullé']","['Alexis', 'Marc']","[1, 2]","['2011', '2011']","['Male', 'Male']","['Male', nan]"
Détection de groupes outliers en classification non supervisée.,"['Amine Chaibi', 'Hanane Azzag', 'Mustapha Lebbah']","['Chaibi', 'Azzag', 'Lebbah']","['Amine', 'Hanane', 'Mustapha']","[1, 3, 2]","['2012', '2012', '2012']","['Male', 'Female', 'Male']","['Male', nan, nan]"
Détection des régions de couleur de peau dans l&apos;image.,"['Djamel A. Zighed', 'Liming Chen 0002', 'Mohamed Hammami', 'Youssef Chahir']","['A.', 'Chen', 'Hammami', 'Chahir']","['Djamel', 'Liming', 'Mohamed', 'Youssef']","[4, 3, 1, 2]","['2003', '2003', '2003', '2003']","['Male', 'Male', 'Male', 'Male']","[nan, nan, 'Male', nan]"
Détection et regroupement automatique de style d&apos;écriture dans un texte.,"['Alain Simac-Lejeune', 'Jérémy Ferrero']","['Simac-Lejeune', 'Ferrero']","['Alain', 'Jeremy']","[2, 1]","['2015', '2015']","['Male', 'Male']","[nan, 'Male']"
Détection par SVM - Application à la détection de churn en téléphonie mobile prépayée.,"['Ali Khenchaf', 'Arnaud Martin', 'Cédric Archaux']","['Khenchaf', 'Martin', 'Archaux']","['Ali', 'Arnaud', 'Cedric']","[3, 2, 1]","['2004', '2004', '2004']","['Male', 'Male', 'Male']","[nan, nan, 'Male']"
Détection précoce de tendances produits dans le cadre des activités commerciales de la grande distribution.,"['Gaël Bardury', 'Jean-Emile Symphor']","['Bardury', 'Symphor']","['Gael', 'Jean-Emile']","[1, 2]","['2013', '2013']","['Male', 'Male']","['Male', nan]"
Détermination du nombre des classes dans l&apos;algorithme CROKI de classification croisée.,"['Gilbert Saporta', 'Malika Charrad', 'Mohamed Ben Ahmed', 'Yves Lechevallier']","['Saporta', 'Charrad', 'Ben', 'Lechevallier']","['Gilbert', 'Malika', 'Mohamed', 'Yves']","[3, 1, 4, 2]","['2009', '2009', '2009', '2009']","['Male', 'Female', 'Male', 'Male']","[nan, 'Female', nan, nan]"
"ETIQ, un étiqueteur inductif convivial pour les corpus de spécialité.","['Ahmed Amrani', 'Oriane Matte-Tailliez', 'Yves Kodratoff']","['Amrani', 'Matte-Tailliez', 'Kodratoff']","['Ahmed', 'Oriane', 'Yves']","[1, 2, 3]","['2004', '2004', '2004']","['Male', 'Male', 'Male']","['Male', nan, nan]"
Echantillonnage de motifs séquentiels sous contrainte sur la norme.,"['Arnaud Giacometti', 'Arnaud Soulet', 'Cheikh Talibouya Diop', 'Dominique Haoyuan Li', 'Lamine Diop']","['Giacometti', 'Soulet', 'Talibouya', 'Haoyuan', 'Diop']","['Arnaud', 'Arnaud', 'Cheikh', 'Dominique', 'Lamine']","[3, 5, 2, 4, 1]","['2018', '2018', '2018', '2018', '2018']","['Male', 'Male', 'Male', 'Male', 'Female']","[nan, nan, nan, nan, 'Female']"
Elaboration et utilisation d&apos;une base de connaissances d&apos;un domaine technique.,"['Nicolas Faure', 'René-Michel Faure']","['Faure', 'Faure']","['Nicolas', 'Rene-Michel']","[1, 2]","['2018', '2018']","['Male', 'Male']","['Male', nan]"
Enrichissement d&apos;ontologies dans le secteur de l&apos;eau douce en environnement Internet distribué et multilingue.,"['Lylia Abrouk', 'Mathieu Lafourcade']","['Abrouk', 'Lafourcade']","['Lylia', 'Mathieu']","[1, 2]","['2006', '2006']","['Female', 'Male']","['Female', nan]"
Enrichissement d&apos;ontologies grâce à l&apos;annotation sémantique de pages web.,"['Catherine Comparot', 'Davide Buscaldi', 'Mouna Kamel', 'Nathalie Aussenac-Gilles']","['Comparot', 'Buscaldi', 'Kamel', 'Aussenac-Gilles']","['Catherine', 'Davide', 'Mouna', 'Nathalie']","[3, 2, 4, 1]","['2013', '2013', '2013', '2013']","['Female', 'Male', 'Female', 'Female']","[nan, nan, nan, 'Female']"
