,authors,nom,prenom,rank_author,title,year,sex
1416,Edwige P. Fangseu Badjio,P.,Edwige,1,Prétraitement de grands ensembles de données pour la fouille visuelle.,2006,Female
1288,Edwin Diday,Diday,Edwin,2,Analyse de données symboliques et graphe de connaissances d&apos;un agent.,2005,Male
1284,Edwin Diday,Diday,Edwin,2,Le logiciel SYR pour l&apos;analyse de données symboliques.,2009,Male
1289,Edwin Diday,Diday,Edwin,3,Régression linéaire symbolique avec variables taxonomiques.,2004,Male
1285,Edwin Diday,Diday,Edwin,3,De l&apos;utilisation de l&apos;analyse de données symboliques dans les systèmes multi-agents.,2009,Male
1286,Edwin Diday,Diday,Edwin,1,Principes d&apos;Analyse des données symboliques et application à la détection d&apos;anomalies sur des ouvrages publics.,2008,Male
1287,Edwin Diday,Diday,Edwin,2,Extension de l&apos;algorithme Apriori et des règles d&apos;association aux cas des données symboliques diagrammes et intervalles.,2005,Male
1290,Edwin Diday,Diday,Edwin,2,Modélisation des données boursières à l&apos;aide de l&apos;analyse de données symboliques.,2001,Male
951,Einoshin Suzuki,Suzuki,Einoshin,2,Detecting Academic Plagiarism with Graphs.,2013,Male
974,Elias Egho,Egho,Elias,1,Vers une mesure de similarité pour les séquences complexes.,2013,Male
913,Elise Desmier,Desmier,Elise,1,Granularité des motifs de co-variations dans des graphes attribués dynamiques.,2014,Female
1103,Elsa Negre,Negre,Elsa,3,Résumés et interrogations de logs de requête OLAP.,2011,Female
908,Elöd Egyed-Zsigmond,Egyed-Zsigmond,Elod,3,ToTeM - une méthode de détection de communautés adaptées aux réseaux d&apos;information.,2013,UKN
907,Elöd Egyed-Zsigmond,Egyed-Zsigmond,Elod,3,Vers une modularité pour données vectorielles.,2014,UKN
1292,Emanuel Aldea,Aldea,Emanuel,1,Vers une utilisation améliorée de relations spatiales pour l&apos;apprentissage de données dans les modèles graphiques.,2009,Male
719,Emmanuel Blanchard,Blanchard,Emmanuel,1,Raisonnement en gestion des compétences.,2005,Male
718,Emmanuel Blanchard,Blanchard,Emmanuel,1,Une nouvelle mesure sémantique pour le calcul de la similarité entre deux concepts d&apos;une même ontologie.,2006,Male
720,Emmanuel Nauer,Nauer,Emmanuel,2,XML et les systèmes de représentation de connaissances par objets pour la gestion de données semi-structurées.,2001,Male
717,Emmanuel Nauer,Nauer,Emmanuel,3,"Taaable - système de recherche et de création, par adaptation, de recettes de cuisine.",2009,Male
715,Emmanuel Rousseaux,Rousseaux,Emmanuel,3,Visualisation de séquences d&apos;événements.,2012,Male
716,Emmanuel Viennet,Viennet,Emmanuel,2,Community Detection in Social Networks with Attribute and Relationship Data.,2012,Male
714,Emmanuel Viennet,Viennet,Emmanuel,3,"Comparison of linear modularization criteria using the relational formalism, an approach to easily identify resolution limit.",2015,Male
325,Emmanuelle Claeys,Claeys,Emmanuelle,1,Conception dun modèle généraliste pour lévaluation dun test A/B.,2017,Female
324,Emmanuelle Claeys,Claeys,Emmanuelle,1,Approche contextuelle par régression pour les tests A/B.,2018,Female
323,Emmanuelle Grislin-Le Strugeon,Grislin-Le,Emmanuelle,4,Réseau bayésien pour la gestion de l&apos;obsolescence dans une base d&apos;informations en vue de l&apos;évaluation du risque de chute des personnes âgées.,2018,Female
42,Emna Amdouni,Amdouni,Emna,1,Sémantique des données d&apos;observation en neuro-imagerie selon un point de vue réaliste.,2018,Female
44,Emna Bahri,Bahri,Emna,1,Classification associative basée sur le Boosting.,2010,Female
45,Emna Bahri,Bahri,Emna,1,"FCP-Growth, une adaptation de FP-Growth pour générer des règles d&apos;association de classe.",2009,Female
46,Emna Bahri,Bahri,Emna,1,Une nouvelle approche du Boosting face aux données réelles.,2008,Female
1407,Engelbert Mephu Nguifo,Mephu,Engelbert,4,Vers une plate-forme interactive pour la visualisation de grands ensembles de règles d&apos;association.,2007,Male
1408,Engelbert Mephu Nguifo,Mephu,Engelbert,2,Recherche de règles d&apos;association hiérarchiques par une approche anthropocentrée.,2004,Male
1295,Enric Ripoll,Ripoll,Enric,3,Assessing the uncertainty in knn Data Fusion.,2009,Male
227,Enrique Baca-García,Baca-García,Enrique,6,Apport de la fouille de données pour la prévention du risque suicidaire.,2018,Male
743,Eric Fourboul,Fourboul,Eric,5,Analyse et visualisation d&apos;opinions dans un cadre de veille sur leWeb.,2015,Male
753,Eric Salvat,Salvat,Eric,3,Validation de graphes conceptuels.,2004,Male
457,Ernesto Estrada,Estrada,Ernesto,1,Long-range influences in (social) networks.,2018,Male
954,Estelle Delpech,Delpech,Estelle,1,Identification de compatibilités entre descripteurs de lieux et apprentissage automatique.,2013,Female
358,Etienne Canaud,Canaud,Etienne,1,Approximation de requêtes sur des bases de données XML.,2003,Male
356,Etienne Cuvelier,Cuvelier,Etienne,1,Classification de fonctions continues à l&apos;aide d&apos;une distribution et d&apos;une densité définies dans un espace de dimension infinie.,2007,Male
355,Etienne Cuvelier,Cuvelier,Etienne,1,Classification de Données Complexes par Globalisation de Mesures de Similarité via les Moyennes Quasi-Arithmétiques.,2018,Male
357,Etienne Pichat,Pichat,Etienne,2,AID - Un framework intégré de conception d&apos;un schéma objet-relationnel.,2005,Male
1461,Eugen Barbu,Barbu,Eugen,1,Fouille de graphes et découverte de règles d&apos;association - application à l&apos;analyse d&apos;images de document.,2005,Male
1310,Eunika Mercier-Laurent,Mercier-Laurent,Eunika,3,Management des connaissances dans le domaine du patrimoine culturel.,2009,Female
1193,Eya Ben Ahmed,Ben,Eya,1,PCAR - nouvelle approche de génération de règles d&apos;association cycliques.,2010,Female
681,Fabien De Marchi,De,Fabien,4,Vers la découverte de modèles exceptionnels locaux - des règles descriptives liant les molécules à leurs odeurs.,2015,Male
687,Fabien De Marchi,De,Fabien,4,Apprentissage de la structure des réseaux bayésiens à partir des motifs fréquents corrélés - application à l&apos;identification des facteurs environnementaux du cancer du Nasopharynx.,2006,Male
686,Fabien De Marchi,De,Fabien,2,Caractérisation des transitions temporisées dans les logs de conversation de services Web.,2007,Male
683,Fabien Gandon,Gandon,Fabien,2,Représentation compacte du contenu de sources RDF.,2012,Male
684,Fabien Gandon,Gandon,Fabien,8,ISICIL - intégration sémantique d&apos;informations à travers des communautés d&apos;intelligence en ligne.,2011,Male
685,Fabien Jourdan,Jourdan,Fabien,3,Un algorithme stable de décomposition pour l&apos;analyse des réseaux sociaux dynamiques.,2009,Male
682,Fabien Picarougne,Picarougne,Fabien,2,3D - de nouvelles perspectives en fouille exploratoire avec la stéréoscopie.,2013,Male
688,Fabien Torre,Torre,Fabien,3,SSC - statistical subspace clustering.,2005,Male
110,Fabrice Clérot,Clérot,Fabrice,4,Un modèle Bayésien de co-clustering de données mixtes.,2018,Male
111,Fabrice Clérot,Clérot,Fabrice,3,Application du coclustering à lanalyse exploratoire dune table de données.,2017,Male
108,Fabrice Clérot,Clérot,Fabrice,3,A two level co-clustering algorithm for very large data sets.,2018,Male
114,Fabrice Clérot,Clérot,Fabrice,3,Anonymiser des données multidimensionnelles à laide du coclustering.,2017,Male
116,Fabrice Clérot,Clérot,Fabrice,2,La carte GHSOM comme alternative à la SOM pour l&apos;analyse exploratoire de données.,2009,Male
117,Fabrice Clérot,Clérot,Fabrice,2,Recherche en temps réel de préfixes massifs hiérarchiques dans un réseau IP à l&apos;aide de techniques de stream mining.,2006,Male
118,Fabrice Clérot,Clérot,Fabrice,1,Une approche simple inspirée des réseaux sociaux pour la hiérarchisation des systèmes autonomes de l&apos;Internet.,2006,Male
124,Fabrice Guillet,Guillet,Fabrice,2,ATHANOR - Un système pour la capitalisation et le déploiement de connaissances de diagnostic.,2001,Male
120,Fabrice Guillet,Guillet,Fabrice,2,Vers une représentation graphique en réalité virtuelle pour la fouille interactive de règles d&apos;association.,2003,Male
122,Fabrice Guillet,Guillet,Fabrice,2,L&apos;intensité d&apos;implication entropique pour la recherche de règles de prédiction intéressantes dans des séquences de pannes d&apos;ascenseurs.,2002,Male
119,Fabrice Guillet,Guillet,Fabrice,2,Mesurer la qualité des règles et de leurs contraposées avec le taux informationnel TIC.,2004,Male
125,Fabrice Guillet,Guillet,Fabrice,4,Une version entropique de l&apos;intensité d&apos;implication pour les corpus volumineux.,2001,Male
123,Fabrice Guillet,Guillet,Fabrice,2,Réduction des colonnes d&apos;un tableau de données par quasi-équivalence entre variables.,2002,Male
121,Fabrice Jouanot,Jouanot,Fabrice,2,Une méthode de réconciliation sémantique pour l&apos;extraction de connaissances.,2003,Male
109,Fabrice Rossi,Rossi,Fabrice,3,Un modèle Bayésien de co-clustering de données mixtes.,2018,Male
115,Fabrice Rossi,Rossi,Fabrice,3,Clustering hiérarchique non paramétrique de données fonctionnelles.,2012,Male
113,Fabrice Rossi,Rossi,Fabrice,3,Co-clustering de données mixtes à base des modèles de mélange.,2017,Male
112,Fabrice Rossi,Rossi,Fabrice,4,Application du coclustering à lanalyse exploratoire dune table de données.,2017,Male
1278,Fadi Badra,Badra,Fadi,1,Extraction de connaissances d&apos;adaptation par analyse de la base de cas.,2007,Female
1276,Fadi Chakik,Chakik,Fadi,1,Intégration de connaissances a priori dans le principe du maximum d&apos;entropie.,2010,Female
1275,Fadi Dornaika,Dornaika,Fadi,2,Intégration de connaissances a priori dans le principe du maximum d&apos;entropie.,2010,Female
803,Fadila Bentayeb,Bentayeb,Fadila,3,Application du paradigme MapReduce aux données ouvertes Cas - Accessibilité des personnes à mobilité réduite aux musées.,2014,Female
805,Fadila Bentayeb,Bentayeb,Fadila,3,RICSH - Recherche d&apos;information contextuelle par segmentation thématique de documents.,2012,Female
806,Fadila Bentayeb,Bentayeb,Fadila,1,Un cadre topologique pour OLAP.,2001,Female
804,Fadila Bentayeb,Bentayeb,Fadila,2,Construction de cube OLAP à partir d&apos;un entrepôt de données orienté colonnes.,2014,Female
1457,Fadoua Ataa-Allah,Ataa-Allah,Fadoua,1,Amélioration de la performance de l&apos;analyse de la sémantique latente pour des corpus de petite taille.,2005,Female
1306,Farid Cerbah,Cerbah,Farid,1,RDBToOnto - un logiciel dédié à l&apos;apprentissage d&apos;ontologies à partir de bases de données relationnelles.,2009,Male
1305,Farid Cerbah,Cerbah,Farid,1,Fouille de données dans les bases relationnelles pour l&apos;acquisition d&apos;ontologies riches en hiérarchies de classes.,2009,Male
776,Fatiha Barigou,Barigou,Fatiha,1,Utilisation de la machine cellulaire pour la détection des courriels indésirables.,2011,Female
775,Fatiha Barigou,Barigou,Fatiha,1,Accélération de la méthode des K plus proches voisins pour la catégorisation de textes.,2013,Female
774,Fatiha Barigou,Barigou,Fatiha,1,Sélection de prototypes en vue d&apos;une catégorisation de textes avec les K plus proches voisins - étude comparative.,2014,Female
773,Fatiha Saïs,Saïs,Fatiha,2,Linked Data Annotation and Fusion driven by Data Quality Evaluation.,2015,Female
455,Fatima Zahra Aazi,Zahra,Fatima,4,Analyse des sentiments à partir des commentaires Facebook publiés en Arabe standard ou dialectal marocain par une approche d&apos;apprentissage automatique.,2018,Female
456,Fatima Zahra Aazi,Zahra,Fatima,1,Choix d&apos;une mesure de proximité discriminante dans un contexte topologique.,2015,Female
1350,Fazia Bellal,Bellal,Fazia,3,Intégration de contraintes dans les cartes auto-organisatrices.,2008,Female
1377,Faïza Abbaci,Abbaci,Faiza,1,Classement des fragments de documents XML par une méthode d&apos;aide à la décision.,2007,Female
1378,Faïza Ghozzi,Ghozzi,Faiza,1,Modèle multidimensionnel à contraintes.,2003,Female
646,Fethi Belghaouti,Belghaouti,Fethi,1,Échantillonnage de flux de données sémantiques - Une approche orientée graphe.,2015,Female
1080,Filipe Afonso,Afonso,Filipe,1,Le logiciel SYR pour l&apos;analyse de données symboliques.,2009,Male
1081,Filipe Afonso,Afonso,Filipe,1,Extension de l&apos;algorithme Apriori et des règles d&apos;association aux cas des données symboliques diagrammes et intervalles.,2005,Male
1082,Filipe Afonso,Afonso,Filipe,1,Régression linéaire symbolique avec variables taxonomiques.,2004,Male
1079,Filipe M. de Melo,M.,Filipe,2,Un algorithme de classification automatique pour des données relationnelles multivues.,2012,Male
811,Flavien Balbo,Balbo,Flavien,1,De l&apos;utilisation de l&apos;analyse de données symboliques dans les systèmes multi-agents.,2009,Male
810,Flavien Bouillot,Bouillot,Flavien,1,De nouvelles pondérations adaptées à la classification de petits volumes de données textuelles.,2014,Male
809,Flavien Huynh,Huynh,Flavien,2,De l&apos;ombre à la lumière - plus de visibilité sur l&apos;Eclipse.,2014,Male
890,Florence Cloppet,Cloppet,Florence,2,Combinaison de classificateurs simples pour une sélection rapide de caractéristiques.,2012,Female
889,Florence Le Ber,Le,Florence,2,Analyse Relationnelle de Concepts pour l&apos;exploration de données relationnelles.,2013,Female
891,Florence Le Ber,Le,Florence,2,Correspondances de Galois pour la manipulation de contextes flous multi-valués.,2009,Female
892,Florence Sèdes,Sèdes,Florence,5,Cartographie de l&apos;organisation - une approche topologique des connaissances.,2007,Female
894,Florence Sèdes,Sèdes,Florence,2,Reconstruction dynamique de documents.,2002,Female
888,Florence Sèdes,Sèdes,Florence,3,Modélisation de trajectoires cible/caméra - requêtes spatio-temporelles dans le cadre de la videosurveillance.,2014,Female
893,Florence Sèdes,Sèdes,Florence,4,Modélisation des individus et de leurs relations pour l&apos;aide à l&apos;intégration des individus dans l&apos;organisation.,2005,Female
621,Florent Domenach,Domenach,Florent,1,Comparaison et Évaluation de Mesures de Similarité entre Concepts dun Treillis.,2017,Male
620,Florent Domenach,Domenach,Florent,1,Mesure de Similarité entre Treillis Basée sur des Correspondances Explicites.,2017,Male
1491,Francesca De Domenico,De,Francesca,2,Acquisition de données vs gestion de connaissances patrimoniales - le cas des vestiges du théâtre antique d&apos;Arles.,2004,Female
1529,Francis Rantière,Rantière,Francis,3,Vers une représentation graphique en réalité virtuelle pour la fouille interactive de règles d&apos;association.,2003,Male
1076,Francisco de A. T. de Carvalho,de,Francisco,1,Un algorithme de classification automatique pour des données relationnelles multivues.,2012,Male
1078,Francisco de Assis Tenório de Carvalho,de,Francisco,1,Recent advances in partitioning clustering algorithms for interval-valued data.,2010,Male
1438,Franck Marchetti,Marchetti,Franck,3,Classification de données qualitatives.,2001,Male
1436,Franck Ravat,Ravat,Franck,3,Modèle conceptuel pour bases de données multidimensionnelles annotées.,2006,Male
1437,Franck Ravat,Ravat,Franck,2,Modèle multidimensionnel à contraintes.,2003,Male
1338,Francky Trichet,Trichet,Francky,3,Construction d&apos;une ontologie opérationnelle - un retour d&apos;expérience.,2002,Male
1337,Francky Trichet,Trichet,Francky,4,Gradients de prototypicalité conceptuelle et lexicale - une contribution à la pragmatisation des ontologies de domaine.,2008,Male
1339,Francky Trichet,Trichet,Francky,3,Capitaliser et partager des connaissances - une approche fondée sur l&apos;exploitation d&apos;un système à base de connaissances de type tâche/méthode.,2001,Male
838,Frank Meyer,Meyer,Frank,3,Sélection d&apos;une méthode de classification multi-label pour un système interactif.,2014,Male
300,François Di Cioccio,Di,Francois,5,Peerus Review - Un outil de recherche d&apos;experts scientifiques.,2018,Male
308,François Gros,Gros,Francois,2,Qualité et datawarehouse dans le milieu hospitalier.,2004,Male
310,François Pellegrino,Pellegrino,Francois,3,Estimation du taux d&apos;erreur sur données en grappes - Application à la reconnaissance de la parole.,2002,Male
309,François Poulet,Poulet,Francois,2,Fouille de grands ensembles de données avec un boosting de Proximal SVM.,2004,Male
306,François Poulet,Poulet,Francois,2,Algorithme semi-interactif pour la sélection de dimensions.,2006,Male
303,François Poulet,Poulet,Francois,3,Algorithmes rapides de boosting de SVM.,2008,Male
305,François Poulet,Poulet,Francois,2,Prétraitement de grands ensembles de données pour la fouille visuelle.,2006,Male
304,François Poulet,Poulet,Francois,2,Classification de grands ensembles de données avec un nouvel algorithme de SVM.,2007,Male
301,François Rioult,Rioult,Francois,2,Fouille de données par programmation visuelle structurée avec KD-Ariane.,2014,Male
302,François Rousselot,Rousselot,Francois,2,CISNA - Un système hybride LD+Règles pour gérer des connaissances.,2009,Male
307,François Trousset,Trousset,Francois,4,Tendances dans les expressions de gènes - application à l&apos;analyse du transcriptome de Plasmodium Falciparum.,2005,Male
1551,François-Xavier Jollois,Jollois,Francois-Xavier,1,Classification de données qualitatives.,2001,Male
1550,François-Xavier Jollois,Jollois,Francois-Xavier,1,Evaluation du nombre de classes dans un cadre bayésien.,2002,Male
1549,François-Xavier Jollois,Jollois,Francois-Xavier,1,Classification croisée sur des données binaires de grande taille.,2003,Male
1357,François-Élie Calvier,Calvier,Francois-Elie,1,La découverte de mappings dans SomeRDFS.,2008,Male
626,Françoise Fessant,Fessant,Francoise,1,Anonymiser des données multidimensionnelles à laide du coclustering.,2017,Female
627,Françoise Fessant,Fessant,Francoise,1,La carte GHSOM comme alternative à la SOM pour l&apos;analyse exploratoire de données.,2009,Female
628,Françoise Giroud,Giroud,Francoise,3,Classification adaptative de séries temporelles - application à l&apos;identification des gènes exprimés au cours du cycle cellulaire.,2008,Female
1126,Freddy Limpens,Limpens,Freddy,10,ISICIL - intégration sémantique d&apos;informations à travers des communautés d&apos;intelligence en ligne.,2011,Male
586,Frédéric Bertrand,Bertrand,Frederic,1,Un modèle extensible adapté à la gestion de dépêches d&apos;agences de presse.,2006,Male
582,Frédéric Dufau-Joël,Dufau-Joël,Frederic,3,Comparaisons structurelles de grandes bases de données par apprentissage non-supervisé.,2010,Male
581,Frédéric Flouvat,Flouvat,Frederic,2,Extraction des évolutions récurrentes dans un unique graphe dynamique attribué.,2017,Male
584,Frédéric Flouvat,Flouvat,Frederic,1,DesEsper - un logiciel de pré-traitement de flux appliqué à la surveillance des centrales hydrauliques.,2009,Male
585,Frédéric Fürst,Fürst,Frederic,2,Gradients de prototypicalité conceptuelle et lexicale - une contribution à la pragmatisation des ontologies de domaine.,2008,Male
588,Frédéric Fürst,Fürst,Frederic,1,Construction d&apos;une ontologie opérationnelle - un retour d&apos;expérience.,2002,Male
587,Frédéric Piat,Piat,Frederic,3,Apprentissage de comportements utilisateurs de produits hypermédias.,2003,Male
423,Frédérique Segond,Segond,Frederique,3,Évaluation comparative d&apos;algorithmes de centralité pour la détection d&apos;influenceurs.,2018,UKN
424,Frédérique Touffet,Touffet,Frederique,4,Prédiction de la biodégradabilité des composés chimiques - un apport des méthodes d&apos;arbre de décision.,2001,UKN
984,Gabriel Frey,Frey,Gabriel,2,Classification multi-étiquettes pour l&apos;alignement multiple de séquences protéiques.,2013,Male
141,Gaël Bardury,Bardury,Gael,1,Détection précoce de tendances produits dans le cadre des activités commerciales de la grande distribution.,2013,Male
140,Gaël Beck,Beck,Gael,3,Nouveau Modèle de Sélection de Caractéristiques basé sur la Théorie des Ensembles Approximatifs pour les Données Massives.,2018,Male
139,Gaël Beck,Beck,Gael,1,Mean-shift - Clustering scalable et distribué.,2018,Male
142,Gaël Dias,Dias,Gael,3,Exploitation de l&apos;asymétrie entre termes pour l&apos;extraction automatique de taxonomies à partir de textes.,2012,Male
143,Gaël Dias,Dias,Gael,2,Acquisition de structures lexico-sémantiques à partir de textes - un nouveau cadre de travail fondé sur une structuration prétopologique.,2011,Male
1513,Gaëlle Simon,Simon,Gaelle,2,Approche innovante pour la recherche et l&apos;extraction coopérative et dynamique d&apos;informations sur Internet.,2004,Female
579,Gaëtan Caillaut,Caillaut,Gaetan,1,Apprentissage despaces prétopologiques dans un cadre multi-instance pour la structuration de données.,2017,Male
1528,Gemma Casas-Garriga,Casas-Garriga,Gemma,2,A Best-First Strategy for Finding Frequent Sets.,2002,Female
1527,Gemma Casas-Garriga,Casas-Garriga,Gemma,2,Sampling Strategies for Finding Frequent Sets.,2003,Female
622,George Portides,Portides,George,2,Comparaison et Évaluation de Mesures de Similarité entre Concepts dun Treillis.,2017,Male
1363,Georges Hébrail,Hébrail,Georges,2,Fonctions d&apos;oubli dans les entrepôts de données.,2004,Male
1359,Georges Hébrail,Hébrail,Georges,3,Traitement de données de consommation électrique par un Système de Gestion de Flux de Données.,2007,Male
1362,Georges Hébrail,Hébrail,Georges,2,Fonctions d&apos;oubli et Conservation de détail dans les entrepôts de données.,2005,Male
1358,Georges Hébrail,Hébrail,Georges,4,Échantillonnage spatio-temporel de flux de données distribués.,2008,Male
1360,Georges Hébrail,Hébrail,Georges,3,Des fonctions d&apos;oubli intelligentes dans les entrepôts de données.,2007,Male
1361,Georges Hébrail,Hébrail,Georges,3,Définition et diffusion de signatures sémantiques dans les systèmes pair-à-pair.,2006,Male
938,Ghada Besbes,Besbes,Ghada,1,Un système hybride de recherche d&apos;information intégrant le raisonnement à partir de cas et la composition d&apos;ontologies.,2013,Male
837,Gianluca Quercini,Quercini,Gianluca,4,Réconciliation des profils dans les réseaux sociaux.,2014,Male
1048,Gilbert Ritschard,Ritschard,Gilbert,2,Visualisation de séquences d&apos;événements.,2012,Male
1047,Gilbert Saporta,Saporta,Gilbert,4,Méthodes multiblocs pour l&apos;identification de gènes associés au vieillissement cutané chez 502 femmes caucasiennes adultes.,2012,Male
1050,Gilbert Saporta,Saporta,Gilbert,3,Web Content Data Mining - la classification croisée pour l&apos;analyse textuelle d&apos;un site Web.,2008,Male
1049,Gilbert Saporta,Saporta,Gilbert,3,Détermination du nombre des classes dans l&apos;algorithme CROKI de classification croisée.,2009,Male
1522,Gilles Bisson,Bisson,Gilles,1,Aide à la conception de méthodes de classification pour la construction d&apos;ontologies - l&apos;atelier Mo&apos;K.,2001,Male
1520,Gilles Venturini,Venturini,Gilles,4,Exploration de données multimédia par réalité virtuelle.,2003,Male
1521,Gilles Zurfluh,Zurfluh,Gilles,4,Modèle multidimensionnel à contraintes.,2003,Male
988,Giuseppe Berio,Berio,Giuseppe,2,Dealing with upper ontologies and their mappings.,2012,Male
601,Gouenou Coatrieux,Coatrieux,Gouenou,3,Mesure de la confiance dans les systèmes dinformation - application aux données de navires.,2017,UKN
1237,Grégory Smits,Smits,Gregory,4,Une approche fondée sur la corrélation entre prédicats pour le traitement des réponses pléthoriques.,2010,Male
520,Guillaume Bosc,Bosc,Guillaume,1,Vers la découverte de modèles exceptionnels locaux - des règles descriptives liant les molécules à leurs odeurs.,2015,Male
518,Guillaume Bosc,Bosc,Guillaume,1,Découverte de sous-groupes avec les arbres de recherche de Monte Carlo.,2017,Male
522,Guillaume Bosc,Bosc,Guillaume,1,Fouille de motifs séquentiels pour l&apos;élicitation de stratégies à partir de traces d&apos;interactions entre agents en compétition.,2014,Male
532,Guillaume Cabanac,Cabanac,Guillaume,1,Modèle conceptuel pour bases de données multidimensionnelles annotées.,2006,Male
534,Guillaume Chaslot,Chaslot,Guillaume,2,Extraction bayésienne et intégration de patterns représentés suivant les K plus proches voisins pour le go 19x19.,2005,Male
519,Guillaume Cleuziou,Cleuziou,Guillaume,2,Apprentissage despaces prétopologiques dans un cadre multi-instance pour la structuration de données.,2017,Male
521,Guillaume Cleuziou,Cleuziou,Guillaume,2,"Apprentissage non supervisé de dépendances syntaxiques à partir de texte étiqueté, plusieurs variantes de PCFG légères.",2014,Male
523,Guillaume Cleuziou,Cleuziou,Guillaume,1,Passage aux noyaux en classification recouvrante.,2014,Male
533,Guillaume Cleuziou,Cleuziou,Guillaume,1,Une mesure de proximité et une méthode de regroupement pour l&apos;aide à l&apos;acquisition d&apos;ontologies spécialisées.,2006,Male
535,Guillaume Cleuziou,Cleuziou,Guillaume,1,PoBOC - un algorithme de &quot;soft-clustering&quot;. Applications à l&apos;apprentissage de règles et au traitement de données textuelles.,2004,Male
525,Guillaume Cleuziou,Cleuziou,Guillaume,2,Exploitation de l&apos;asymétrie entre termes pour l&apos;extraction automatique de taxonomies à partir de textes.,2012,Male
529,Guillaume Cleuziou,Cleuziou,Guillaume,1,OKMed et WOKM - deux variantes de OKM pour la classification recouvrante.,2009,Male
531,Guillaume Cleuziou,Cleuziou,Guillaume,1,OKM - une extension des k-moyennes pour la recherche de classes recouvrantes.,2007,Male
530,Guillaume Cleuziou,Cleuziou,Guillaume,1,Étude comparative de deux approches de classification recouvrante - Moc vs. Okm.,2008,Male
528,Guillaume Cleuziou,Cleuziou,Guillaume,1,Acquisition de structures lexico-sémantiques à partir de textes - un nouveau cadre de travail fondé sur une structuration prétopologique.,2011,Male
526,Guillaume Erétéo,Erétéo,Guillaume,5,ISICIL - intégration sémantique d&apos;informations à travers des communautés d&apos;intelligence en ligne.,2011,Male
527,Guillaume Husson,Husson,Guillaume,9,ISICIL - intégration sémantique d&apos;informations à travers des communautés d&apos;intelligence en ligne.,2011,Male
524,Guillaume Husson,Husson,Guillaume,2,SweetDeki - le wiki sémantique couteau suisse du réseau social ISICIL.,2012,Male
1217,Guy Melançon,Melançon,Guy,10,Tulip - a scalable graph visualization framework.,2010,Male
1218,Guy Melançon,Melançon,Guy,6,Visualisation de graphes avec Tulip - exploration interactive de grandes masses de données en appui à la fouille de données et à l&apos;extraction de connaissances.,2007,Male
1219,Guy W. Mineau,W.,Guy,2,"Le forage distribué des données - une méthode simple, rapide et efficace.",2006,Male
1220,Guy W. Mineau,W.,Guy,3,Forage distribué des données - une comparaison entre l&apos;agrégation d&apos;échantillons et l&apos;agrégation de règles.,2005,Male
1177,Guénaël Cabanes,Cabanes,Guenael,1,Comparaisons structurelles de grandes bases de données par apprentissage non-supervisé.,2010,Male
1178,Guénaël Cabanes,Cabanes,Guenael,1,Exploration de données de traçabilité issues de la RFID par apprentissage non-supervisé.,2009,Male
1179,Guénaël Cabanes,Cabanes,Guenael,1,Un algorithme de classification topographique non supervisée à deux niveaux simultanés.,2008,Male
1175,Guénaël Cabanes,Cabanes,Guenael,1,Visualisation de l&apos;intra et inter structure des groupes en classification non supervisée.,2011,Male
1174,Guénaël Cabanes,Cabanes,Guenael,1,Apprendre les contraintes topologiques dans les cartes auto-organisatrices.,2011,Male
1072,Géraldine Polaillon,Polaillon,Geraldine,2,Classification Conceptuelle avec Généralisation par Intervalles.,2012,Female
1469,Gérard Aubertin,Aubertin,Gerard,1,Cartographie de connaissances critiques.,2003,Male
1468,Gérard Dray,Dray,Gerard,3,Modélisation dynamique et temporelle de l&apos;utilisateur pour un filtrage personnalisé de documents textuels.,2004,Male
1467,Gérard Dray,Dray,Gerard,3,Tendances dans les expressions de gènes - application à l&apos;analyse du transcriptome de Plasmodium Falciparum.,2005,Male
1470,Gérard Govaert,Govaert,Gerard,3,Classification croisée sur des données binaires de grande taille.,2003,Male
1471,Gérard Ramstein,Ramstein,Gerard,3,Analyse de l&apos;expression de gènes à partir de puces à ADN.,2002,Male
454,Hafdalla Hammia,Hammia,Hafdalla,3,Analyse des sentiments à partir des commentaires Facebook publiés en Arabe standard ou dialectal marocain par une approche d&apos;apprentissage automatique.,2018,UKN
492,Hajer Baazaoui Zghal,Baazaoui,Hajer,3,Une approche sémantique hybride pour la recommandation des articles d&apos;actualité à large échelle.,2018,UKN
494,Hajer Baazaoui Zghal,Baazaoui,Hajer,2,Un système hybride de recherche d&apos;information intégrant le raisonnement à partir de cas et la composition d&apos;ontologies.,2013,UKN
493,Hajer Baazaoui Zghal,Baazaoui,Hajer,3,Sélection ciblée des descripteurs visuels pour la recherche dimages - une approche basée sur les règles dassociation.,2017,UKN
1147,Hakim Hacid,Hacid,Hakim,2,Aide à l&apos;analyse visuelle de réseaux sociaux pour la detection de comportements suspects.,2011,Male
1495,Hamid Tebri,Tebri,Hamid,2,Apprentissage incrémental des profils dans un système de filtrage d&apos;information.,2004,Male
1195,Hana Alouaoui,Alouaoui,Hana,1,Apport de la technique de fouille de données spatiales dans la prédiction des risques engendrés par les changements climatiques.,2010,Female
153,Hanane Azzag,Azzag,Hanane,1,Auto-organisation topologique et hiérarchique des données.,2010,UKN
154,Hanane Azzag,Azzag,Hanane,2,Approche biomimétique coopérative pour la visualisation de grands graphes multidimensionels.,2010,UKN
145,Hanane Azzag,Azzag,Hanane,3,Clustering topologique pour le flux de données.,2015,UKN
